code_prefix,name,id,parent_id:id
1,Equity and Long Terms Debits,azkatech_gaccount_lb_1,
2,Accounts of Fixed Assets,azkatech_gaccount_lb_2,
3,Inventory and Goods,azkatech_gaccount_lb_3,
4,Receivables and Payables,azkatech_gaccount_lb_4,
5,Financial accounts,azkatech_gaccount_lb_5,
6,Expenditure,azkatech_gaccount_lb_6,
7,Income,azkatech_gaccount_lb_7,
10,Capital,azkatech_gaccount_lb_8,azkatech_gaccount_lb_1
11,RESERVES,azkatech_gaccount_lb_9,azkatech_gaccount_lb_1
12,Result Brought Forward,azkatech_gaccount_lb_10,azkatech_gaccount_lb_1
13,Margins,azkatech_gaccount_lb_11,azkatech_gaccount_lb_1
14,Investment,azkatech_gaccount_lb_12,azkatech_gaccount_lb_1
15,Provisions,azkatech_gaccount_lb_13,azkatech_gaccount_lb_1
16,Loans,azkatech_gaccount_lb_14,azkatech_gaccount_lb_1
18,Branchs,azkatech_gaccount_lb_15,azkatech_gaccount_lb_1
19,Determination of Margin,azkatech_gaccount_lb_16,azkatech_gaccount_lb_1
20,Fixed Assets,azkatech_gaccount_lb_17,azkatech_gaccount_lb_2
21,Intangible Fixed Assets,azkatech_gaccount_lb_18,azkatech_gaccount_lb_2
22,Tangible Fixed Assets,azkatech_gaccount_lb_19,azkatech_gaccount_lb_2
25,Financial Fixed Assets,azkatech_gaccount_lb_20,azkatech_gaccount_lb_2
28,Depreciation Of Fixed Assets,azkatech_gaccount_lb_21,azkatech_gaccount_lb_2
29,Provision Dimunition Of Value Of Fixed Assets,azkatech_gaccount_lb_22,azkatech_gaccount_lb_2
30,Raw Materials,azkatech_gaccount_lb_23,azkatech_gaccount_lb_3
31,Raw Materials,azkatech_gaccount_lb_24,azkatech_gaccount_lb_3
33,Products in process,azkatech_gaccount_lb_25,azkatech_gaccount_lb_3
35,Semi-finished goods,azkatech_gaccount_lb_26,azkatech_gaccount_lb_3
37,Merchandise For Sale,azkatech_gaccount_lb_27,azkatech_gaccount_lb_3
39,Provisions for dimunition in value of raw materials and ansumable goods,azkatech_gaccount_lb_28,azkatech_gaccount_lb_3
40,Suppliers,azkatech_gaccount_lb_29,azkatech_gaccount_lb_4
41,DEBTORS (CUSTOMERS),azkatech_gaccount_lb_30,azkatech_gaccount_lb_4
42,Personnel,azkatech_gaccount_lb_31,azkatech_gaccount_lb_4
43,Social security,azkatech_gaccount_lb_32,azkatech_gaccount_lb_4
44,GOV'T and Public Institutions,azkatech_gaccount_lb_33,azkatech_gaccount_lb_4
45,Partners,azkatech_gaccount_lb_34,azkatech_gaccount_lb_4
46,Miscellaneous accounts receivable&payable,azkatech_gaccount_lb_35,azkatech_gaccount_lb_4
47,Pre-Payments & Accruals,azkatech_gaccount_lb_36,azkatech_gaccount_lb_4
48,Transitory and regularization account,azkatech_gaccount_lb_37,azkatech_gaccount_lb_4
49,Provisions for dimunition in value of (receivables&payables),azkatech_gaccount_lb_38,azkatech_gaccount_lb_4
50,Security Placements,azkatech_gaccount_lb_39,azkatech_gaccount_lb_5
51,Financial Institutions,azkatech_gaccount_lb_40,azkatech_gaccount_lb_5
53,CASH,azkatech_gaccount_lb_41,azkatech_gaccount_lb_5
58,Intercompany Transfers,azkatech_gaccount_lb_42,azkatech_gaccount_lb_5
59,Provision for dimunition in value of security placements,azkatech_gaccount_lb_43,azkatech_gaccount_lb_5
60,Purchase and Variation of Inventory,azkatech_gaccount_lb_44,azkatech_gaccount_lb_6
61,Purchases Raw Materials & Consumables,azkatech_gaccount_lb_45,azkatech_gaccount_lb_6
62,Other Charges & Disbursements,azkatech_gaccount_lb_46,azkatech_gaccount_lb_6
63,Personnel Charges,azkatech_gaccount_lb_47,azkatech_gaccount_lb_6
64,Fees & Taxes,azkatech_gaccount_lb_48,azkatech_gaccount_lb_6
65,"Amortization,Depreciation & Provisions(Operational)",azkatech_gaccount_lb_49,azkatech_gaccount_lb_6
66,Other Operating Charges,azkatech_gaccount_lb_50,azkatech_gaccount_lb_6
67,Financial Charges,azkatech_gaccount_lb_51,azkatech_gaccount_lb_6
68,Non Operating Charges,azkatech_gaccount_lb_52,azkatech_gaccount_lb_6
69,Income Tax on Profits,azkatech_gaccount_lb_53,azkatech_gaccount_lb_6
70,Sales of Goods,azkatech_gaccount_lb_54,azkatech_gaccount_lb_7
71,Sales of Products,azkatech_gaccount_lb_55,azkatech_gaccount_lb_7
72,Production (Variation),azkatech_gaccount_lb_56,azkatech_gaccount_lb_7
73,Production of fixed assets,azkatech_gaccount_lb_57,azkatech_gaccount_lb_7
74,Operating Subsidies,azkatech_gaccount_lb_58,azkatech_gaccount_lb_7
75,Provisions Write-Back (Operational),azkatech_gaccount_lb_59,azkatech_gaccount_lb_7
76,Other operationg income,azkatech_gaccount_lb_60,azkatech_gaccount_lb_7
77,Financial Revenues,azkatech_gaccount_lb_61,azkatech_gaccount_lb_7
78,Non Operating Revenues,azkatech_gaccount_lb_62,azkatech_gaccount_lb_7
101,Capital(company or individual),azkatech_gaccount_lb_63,azkatech_gaccount_lb_8
102,Premuim related to the capital,azkatech_gaccount_lb_64,azkatech_gaccount_lb_8
103,Revalution variances,azkatech_gaccount_lb_65,azkatech_gaccount_lb_8
109,Owners Current Account,azkatech_gaccount_lb_66,azkatech_gaccount_lb_8
111,Legal Reserve,azkatech_gaccount_lb_67,azkatech_gaccount_lb_9
112,Statutary and contractual reserve,azkatech_gaccount_lb_68,azkatech_gaccount_lb_9
119,Other Reserves,azkatech_gaccount_lb_69,azkatech_gaccount_lb_9
121,Profit brought forward,azkatech_gaccount_lb_70,azkatech_gaccount_lb_10
125,Loss brought forward,azkatech_gaccount_lb_71,azkatech_gaccount_lb_10
131,Gross Trade Margin,azkatech_gaccount_lb_72,azkatech_gaccount_lb_11
132,Value Added,azkatech_gaccount_lb_73,azkatech_gaccount_lb_11
133,Gross trading operating margin,azkatech_gaccount_lb_74,azkatech_gaccount_lb_11
134,operating result(prior to financial income&expenditures),azkatech_gaccount_lb_75,azkatech_gaccount_lb_11
135,Result Before Taxation,azkatech_gaccount_lb_76,azkatech_gaccount_lb_11
136,Non-Operating Result,azkatech_gaccount_lb_77,azkatech_gaccount_lb_11
138,Result of the period-Profits,azkatech_gaccount_lb_78,azkatech_gaccount_lb_11
139,Result of the period-Losses,azkatech_gaccount_lb_79,azkatech_gaccount_lb_11
141,Investment subsidies received,azkatech_gaccount_lb_80,azkatech_gaccount_lb_12
145,Investment subsidies transferred to results,azkatech_gaccount_lb_81,azkatech_gaccount_lb_12
151,Provisions for contingencies,azkatech_gaccount_lb_82,azkatech_gaccount_lb_13
155,Provisions for charges,azkatech_gaccount_lb_83,azkatech_gaccount_lb_13
161,Loans against debenture,azkatech_gaccount_lb_84,azkatech_gaccount_lb_14
162,loans from financial institutions,azkatech_gaccount_lb_85,azkatech_gaccount_lb_14
168,Sundry loans and debts,azkatech_gaccount_lb_86,azkatech_gaccount_lb_14
181,Branches and joint ventures accounts(One account for each entity),azkatech_gaccount_lb_87,azkatech_gaccount_lb_15
186,Intercompany charges,azkatech_gaccount_lb_88,azkatech_gaccount_lb_15
187,Intercompany income,azkatech_gaccount_lb_89,azkatech_gaccount_lb_15
191,Determination of the gross trading margin,azkatech_gaccount_lb_90,azkatech_gaccount_lb_16
192,Determination of value added,azkatech_gaccount_lb_91,azkatech_gaccount_lb_16
193,Determination of the gross operating income,azkatech_gaccount_lb_92,azkatech_gaccount_lb_16
194,Determination of operating result(prior to financial income and expenditures),azkatech_gaccount_lb_93,azkatech_gaccount_lb_16
195,Determination of the current result before taxation,azkatech_gaccount_lb_94,azkatech_gaccount_lb_16
196,Determination of non-operating result,azkatech_gaccount_lb_95,azkatech_gaccount_lb_16
197,Determination of the period's result,azkatech_gaccount_lb_96,azkatech_gaccount_lb_16
211,"Business concern(keymoney,goodwill,clients)",azkatech_gaccount_lb_97,azkatech_gaccount_lb_18
212,Establishment expenses,azkatech_gaccount_lb_98,azkatech_gaccount_lb_18
213,Research and development expences,azkatech_gaccount_lb_99,azkatech_gaccount_lb_18
214,"Patents,licences,trade marks and similars",azkatech_gaccount_lb_100,azkatech_gaccount_lb_18
219,Other intangible fixed assets,azkatech_gaccount_lb_101,azkatech_gaccount_lb_18
221,Land,azkatech_gaccount_lb_102,azkatech_gaccount_lb_19
223,Construction,azkatech_gaccount_lb_103,azkatech_gaccount_lb_19
224,Technical installations and industrial tools,azkatech_gaccount_lb_104,azkatech_gaccount_lb_19
225,Transportation equipment,azkatech_gaccount_lb_105,azkatech_gaccount_lb_19
226,Other tangible fixed assets,azkatech_gaccount_lb_106,azkatech_gaccount_lb_19
227,Tangible fixed assets in progress,azkatech_gaccount_lb_107,azkatech_gaccount_lb_19
228,Advance payments on account of tagible fixed assets,azkatech_gaccount_lb_108,azkatech_gaccount_lb_19
251,Equity participations,azkatech_gaccount_lb_109,azkatech_gaccount_lb_20
252,Receivables related to equity participations,azkatech_gaccount_lb_110,azkatech_gaccount_lb_20
253,Other blocked securities,azkatech_gaccount_lb_111,azkatech_gaccount_lb_20
255,Long and medium term loans,azkatech_gaccount_lb_112,azkatech_gaccount_lb_20
259,Other blocked long term receivables,azkatech_gaccount_lb_113,azkatech_gaccount_lb_20
280,Amortization of the business concern(goodwill),azkatech_gaccount_lb_114,azkatech_gaccount_lb_21
281,Amortization of other intangible fixed assets,azkatech_gaccount_lb_115,azkatech_gaccount_lb_21
282,Depreciation of tangible fixed assets,azkatech_gaccount_lb_116,azkatech_gaccount_lb_21
290,Provisions for dimunition in value of fixed assets,azkatech_gaccount_lb_117,azkatech_gaccount_lb_22
291,Provisions for dimunition in value of intangible fixed assets,azkatech_gaccount_lb_118,azkatech_gaccount_lb_22
292,Provisions for dimunition in value of tangible fixed assets,azkatech_gaccount_lb_119,azkatech_gaccount_lb_22
295,Provisions for dimunition in value of financial fixed assets,azkatech_gaccount_lb_120,azkatech_gaccount_lb_22
311,Raw Materials,azkatech_gaccount_lb_121,azkatech_gaccount_lb_24
315,Other consumable supplies and materials,azkatech_gaccount_lb_122,azkatech_gaccount_lb_24
331,Products in process,azkatech_gaccount_lb_123,azkatech_gaccount_lb_25
332,Works in process,azkatech_gaccount_lb_124,azkatech_gaccount_lb_25
335,Studies in process,azkatech_gaccount_lb_125,azkatech_gaccount_lb_25
336,Services in process,azkatech_gaccount_lb_126,azkatech_gaccount_lb_25
351,Semi-finished goods,azkatech_gaccount_lb_127,azkatech_gaccount_lb_26
355,Manufactured goods,azkatech_gaccount_lb_128,azkatech_gaccount_lb_26
358,Production scrap,azkatech_gaccount_lb_129,azkatech_gaccount_lb_26
371,Merchandise For Sale,azkatech_gaccount_lb_130,azkatech_gaccount_lb_27
372,Merchandise For Sale,azkatech_gaccount_lb_131,azkatech_gaccount_lb_27
379,Transitory Stock Account,azkatech_gaccount_lb_132,azkatech_gaccount_lb_27
391,Provisions for dimunition in value of raw materials and ansumable goods,azkatech_gaccount_lb_133,azkatech_gaccount_lb_28
393,Provisions for dimunition in value of products in process,azkatech_gaccount_lb_134,azkatech_gaccount_lb_28
395,Provisions for dimunition in value of products in process,azkatech_gaccount_lb_135,azkatech_gaccount_lb_28
397,Provisions for dimunition in value of Inventory,azkatech_gaccount_lb_136,azkatech_gaccount_lb_28
401,Accounts Payables (Suppliers),azkatech_gaccount_lb_137,azkatech_gaccount_lb_29
403,Fixed Assets Suppliers,azkatech_gaccount_lb_138,azkatech_gaccount_lb_29
409,Advance payments on account of operational supplies,azkatech_gaccount_lb_139,azkatech_gaccount_lb_29
411,Clients,azkatech_gaccount_lb_140,azkatech_gaccount_lb_30
413,Notes receivable (Clients),azkatech_gaccount_lb_141,azkatech_gaccount_lb_30
415,Advances on Works Unbilled,azkatech_gaccount_lb_142,azkatech_gaccount_lb_30
418,Invoices Under Preparation,azkatech_gaccount_lb_143,azkatech_gaccount_lb_30
419,Advances and payments on account for orders under execution,azkatech_gaccount_lb_144,azkatech_gaccount_lb_30
421,Payments due to personnel,azkatech_gaccount_lb_145,azkatech_gaccount_lb_31
428,Personnel's accounts receivable,azkatech_gaccount_lb_146,azkatech_gaccount_lb_31
431,Accounts payable to social security,azkatech_gaccount_lb_147,azkatech_gaccount_lb_32
435,Payment Paper\Social Security,azkatech_gaccount_lb_148,azkatech_gaccount_lb_32
438,Accounts receivable from social security fund,azkatech_gaccount_lb_149,azkatech_gaccount_lb_32
441,Taxes Due (Operational),azkatech_gaccount_lb_150,azkatech_gaccount_lb_33
442,VAT Accounts,azkatech_gaccount_lb_151,azkatech_gaccount_lb_33
443,Tax due (Non -operational),azkatech_gaccount_lb_152,azkatech_gaccount_lb_33
445,GOV'T and Public Institutions other accounts payable,azkatech_gaccount_lb_153,azkatech_gaccount_lb_33
449,GOV'T and Public Institutions accounts receivable,azkatech_gaccount_lb_154,azkatech_gaccount_lb_33
451,Partners current account,azkatech_gaccount_lb_155,azkatech_gaccount_lb_34
453,Dividends Payable,azkatech_gaccount_lb_156,azkatech_gaccount_lb_34
455,Other Partners payables,azkatech_gaccount_lb_157,azkatech_gaccount_lb_34
459,Shareholders Receivable,azkatech_gaccount_lb_158,azkatech_gaccount_lb_34
461,MiscOperating accounts payable,azkatech_gaccount_lb_159,azkatech_gaccount_lb_35
463,Installments on financial fixed assets,azkatech_gaccount_lb_160,azkatech_gaccount_lb_35
465,Misc Accounts payable-Non Operating,azkatech_gaccount_lb_161,azkatech_gaccount_lb_35
468,Misc Accounts receivales-Operating,azkatech_gaccount_lb_162,azkatech_gaccount_lb_35
469,Misc Receivables -Non Operating,azkatech_gaccount_lb_163,azkatech_gaccount_lb_35
471,Deferred Charges,azkatech_gaccount_lb_164,azkatech_gaccount_lb_36
472,Deferred Income,azkatech_gaccount_lb_165,azkatech_gaccount_lb_36
473,Accrued Income,azkatech_gaccount_lb_166,azkatech_gaccount_lb_36
475,Exchange difference-liabilities,azkatech_gaccount_lb_167,azkatech_gaccount_lb_36
476,Exchange difference-Assets,azkatech_gaccount_lb_168,azkatech_gaccount_lb_36
481,Periodical allocation of expenses,azkatech_gaccount_lb_169,azkatech_gaccount_lb_37
482,Periodical allocation of Income,azkatech_gaccount_lb_170,azkatech_gaccount_lb_37
483,Charges Account Payables,azkatech_gaccount_lb_171,azkatech_gaccount_lb_37
